ID,化学式,电导率（室温，S/cm）,电导率测得温度（°C）,电导率（其他温度，S/cm）,化合物制备方法,family,非晶,对应文献DOI,文献年份,备注
v24,Li3InCl6,0.00142,RT,,球磨 + 退火,halides,否,10.1021/acs.nanolett.0c01156,2020,Curator row 24; ball-milled and annealed; independent group; original 1.42 mS/cm
v34,Li3Y0.5In0.5Cl6,0.00122,RT,,球磨 + 退火,halides,否,10.1021/acs.nanolett.0c01156,2020,Curator row 34; ball-milled and annealed; monoclinic; original 1.22 mS/cm
v78,Li3YCl6,0.0000608,RT,,unknow,halides,否,10.1021/acs.nanolett.0c01156,2020,Curator row 78; starting hcp value for In3+ substitution; original 0.0608 mS/cm
9wf,Li3ErI6,0.00065,RT,,unknow,halides,unknow,10.1021/acsaem.0c00147,2020,"appendix: diffraction data available, D_0 calculation"
v17,Li3YBr3Cl3,0.0016,RT,,球磨 + 退火,halides,否,10.1021/acsenergylett.0c01690,2020,Curator row 17; ball-milled and annealed; original 1.6 mS/cm
n7a,Li2.5Y0.5Zr0.5Cl6,0.0014,RT,,unknow,halides,unknow,10.1021/acsenergylett.9b02599,2020,Li2.5Er0.5Zr0.5Cl6 is available
er0,Li3ErCl6,0.00009,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-1; phase I (trigonal); original 0.09 mS/cm at 25 C
er1,Li2.9Er0.9Zr0.1Cl6,0.00038,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-2; phase I; original 0.38 mS/cm at 25 C
er2,Li2.8Er0.8Zr0.2Cl6,0.00078,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-3; phase II+III; original 0.78 mS/cm at 25 C
er3,Li2.75Er0.75Zr0.25Cl6,0.0008,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-4; phase II+III; original 0.80 mS/cm at 25 C
er4,Li2.7Er0.7Zr0.3Cl6,0.0011,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-5; phase II+III; original 1.1 mS/cm at 25 C
er5,Li2.633Er0.633Zr0.367Cl6,0.0011,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction with composition aligned to article text x=0.367; curator row 25-6; phase III (orthorhombic); original 1.1 mS/cm at 25 C
er6,Li2.5Er0.5Zr0.5Cl6,0.00095,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-7; phase III; original 0.95 mS/cm at 25 C
er7,Li2.4Er0.4Zr0.6Cl6,0.00085,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-8; phase III; original 0.85 mS/cm at 25 C
er8,Li2.2Er0.2Zr0.8Cl6,0.00045,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1c extraction; curator row 25-9; phase III; original 0.45 mS/cm at 25 C
yz0,Li3YCl6,0.00007,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-1; phase I (trigonal); original 0.07 mS/cm at 25 C
yz1,Li2.9Y0.9Zr0.1Cl6,0.00032,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-2; phase I; original 0.32 mS/cm at 25 C
yz2,Li2.8Y0.8Zr0.2Cl6,0.00095,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-3; phase I+II; original 0.95 mS/cm at 25 C
yz3,Li2.75Y0.75Zr0.25Cl6,0.001,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-4; phase I+II; original 1.0 mS/cm at 25 C
yz4,Li2.7Y0.7Zr0.3Cl6,0.0012,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-5; phase I+II; original 1.2 mS/cm at 25 C
yz5,Li2.633Y0.633Zr0.367Cl6,0.0013,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction with composition aligned to article text x=0.367; curator row 26-6; phase III; original 1.3 mS/cm at 25 C
yz6,Li2.4Y0.4Zr0.6Cl6,0.00095,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-8; phase III; original 0.95 mS/cm at 25 C
yz7,Li2.5Y0.5Zr0.5Cl6,0.0014,25,,unknow,halides,否,10.1021/acsenergylett.9b02599,2020,Human-verified Figure 1d extraction; curator row 26-7; phase III (orthorhombic); original 1.4 mS/cm at 25 C; existing OBLiX record retained
v05,Li3ScCl6,0.00302,RT,,高温固相合成 + 退火,halides,否,10.1021/jacs.0c00134,2020,Curator row 5; high-temperature solid-state synthesis and annealing; monoclinic; original 3.02 mS/cm
zzr,Li10GeP2S12,0.0076,RT,,unknow,LGPS,unknow,10.1021/jacs.0c10735,2020,
kop,Li10Ge0.66Sn0.33P2S12,0.0064,RT,,unknow,LGPS,unknow,10.1021/jacs.0c10735,2020,
rty,Li10Ge0.33Sn0.66P2S12,0.0048,RT,,unknow,LGPS,unknow,10.1021/jacs.0c10735,2020,
kko,Li10SnP2S12,0.0038,RT,,unknow,LGPS,unknow,10.1021/jacs.0c10735,2020,
v20,Li2Sc0.666667Cl4,0.0015,RT,,高温固相合成（48 h）,halides,否,10.1039/d0ee01017k,2020,Curator row 20; high-temperature solid-state synthesis for 48 h; disordered spinel; original 1.5 mS/cm
v35,Li2.08Sc0.64Cl4,0.00122,RT,,unknow,halides,否,10.1039/d0ee01017k,2020,Curator row 35; increased LiCl impurity; original 1.22 mS/cm
v42,Li1.9Sc0.7Cl4,0.00109,RT,,unknow,halides,否,10.1039/d0ee01017k,2020,Curator row 42; low Li+ concentration; original 1.09 mS/cm
trv1_0003,Li10.42Si1.5P1.5Cl0.08O11.92,1.03e-5,27,,固相合成,oxide,否,10.1039/c4ra11287c,2015,LISICON型
trv1_0004,Li10.42Ge1.5P1.5Cl0.08O11.92,3.7e-5,27,,固相合成,oxide,否,10.1039/c4ra11287c,2015,LISICON型
trv1_0005,Li7P2S8I,6.3e-4,RT,,热处理,sulfide,是,10.1021/acs.chemmater.9b01926,2020,非晶态
trv1_0006,Li14.8Mg0.1(PS4)4Cl3,2e-7,RT,,高能球磨,sulfide,否,10.1021/acs.chemmater.9b01926,2020,立方晶系I-43d
trv1_0007,Li10P3S12I,6.5e-3,RT,,固相合成,sulfide,unknow,10.1088/1757-899x/924/1/012037,2020,9Li2S-3P2S5-2LiI组成
trv1_0008,Li11P3S12.5I,7.9e-3,RT,,固相合成,sulfide,unknow,10.1088/1757-899x/924/1/012037,2020,Li2S-P2S5-LiI体系
trv1_0009,Li7P2S8I0.5Cl0.5,3.08e-3,RT,,热压+Cl掺杂,sulfide,unknow,10.1088/1757-899x/924/1/012037,2020,Cl掺杂样品
trv1_0010,Li15(PS4)4Cl3,4e-8,RT,,高能球磨,sulfide,否,10.1021/acs.chemmater.9b01926,2020,立方晶系I-43d
v46,Li2.25Zr0.75Fe0.25Cl6,0.001,RT,,退火,halides,否,10.1002/aenm.202003190,2021,Curator row 46; Fe3+ doped and annealed; trigonal; original 1.0 mS/cm
v63,Li2ZrCl6,0.0004,RT,,机械球磨,halides,否,10.1002/aenm.202003190,2021,Curator row 63; mechanical milling; trigonal; original 0.4 mS/cm
v31,Li3InCl6,0.0013,RT,,unknow,halides,否,10.1002/aenm.202100836,2021,Curator row 31; undoped baseline; original 1.3 mS/cm
v47,Li3InCl4.8F1.2,0.00098,RT,,球磨 + 退火,halides,否,10.1002/aenm.202100836,2021,Curator row 47; ball-milled and annealed; tabulated value; original 0.98 mS/cm
v10,Li2.5Y0.5Zr0.5Cl6,0.0021,RT,,球磨 + 退火,halides,否,10.1016/j.cej.2021.130630,2021,Curator row 10; ball-milled and annealed; trigonal; tabulated value 2.1 mS/cm
v21,Li2.6Yb0.6Hf0.4Cl6,0.0015,RT,,球磨 + 退火,halides,否,10.1016/j.cej.2021.130630,2021,Curator row 21; ball-milled and annealed; monoclinic; original 1.5 mS/cm
ar1,Li4SnS3Se,7.5e-05,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
cz2,Li4SnSSe3,9.5e-07,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
klr,Li4SnS2Se2,3.6e-05,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
mn3,Li4SnSe4,4.5e-08,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
o0a,Li4Ge0.75Sn0.25Se4,6e-06,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
qer,Li4Ge0.50Sn0.50Se4,1.8e-06,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
aab,Li4Ge0.25Sn0.75Se4,8.3e-07,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
1ty,Li4GeS3Se,8.5e-06,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
zv5,Li4GeS2Se2,2.8e-05,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
xk3,Li4GeSe4,5e-06,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
i4l,Li4GeSSe3,1.5e-05,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/acs.chemmater.0c04150,2021,
an2,Li6SiO4Cl2,1e-10,RT,,unknow,argyrodite,unknow,10.1021/acs.chemmater.1c00157,2021,
v19,Li2.9In0.9Zr0.1Cl6,,20,20°C: 0.00154,unknow,halides,否,10.1021/acs.chemmater.1c01348,2021,Curator row 19; Zr4+ doped; original 1.54 mS/cm at 20 C
v40,Li2.8Yb0.8Zr0.2Cl6,0.0011,RT,,unknow,halides,否,10.1021/acsami.1c13295,2021,Curator row 40; Zr4+ doped; corrected DOI; original 1.1 mS/cm
v80,LiAlCl4,0.000029,RT,,球磨,halides,否,10.1021/acsmaterialslett.1c00055,2021,Curator row 80; Flores ball-milling improvement; corrected DOI; original 0.029 mS/cm
v39,Li2.7Yb0.7Zr0.3Cl6,0.0011,30,,固相反应，350 °C 合成,halides,否,10.1021/acsmaterialslett.1c00142,2021,Curator row 39; orthorhombic; corrected DOI; original 1.1 mS/cm
v74,Li3YbCl6,0.000106,30,,固相反应，350 °C 合成,halides,否,10.1021/acsmaterialslett.1c00142,2021,Curator row 74; calcined at 350 C; trigonal; corrected DOI; original 0.106 mS/cm
v77,Li2.9Yb0.9Zr0.1Cl6,0.000063,30,,固相反应，350 °C 合成,halides,否,10.1021/acsmaterialslett.1c00142,2021,Curator row 77; calcined at 650 C; orthorhombic; corrected DOI; original 0.063 mS/cm
v50,Li2ZrCl6,0.00081,RT,,球磨 + 退火,halides,否,10.1038/s41467-021-24697-2,2021,Curator row 50; ball-milled and annealed; trigonal; corrected DOI; original 0.81 mS/cm
trv1_0011,Li10GeP2S12,1.2e-2,RT,,固相合成,sulfide,否,10.1039/d1ta06338c,2021,LGPS；实验值
trv1_0012,Li10SnP2S12,7e-3,RT,,固相合成,sulfide,否,10.1039/d1ta06338c,2021,LSnPS；实验值
trv1_0013,Li9.42Si1.02P2.1S9.96O2.04,3.2e-4,RT,,固相合成,sulfide,否,10.1039/d1ta06338c,2021,LGPS型氧硫化物
v33,Li3ScCl6,0.00125,RT,,NH4Cl辅助湿化学合成,halides,否,10.1126/sciadv.abh1896,2021,Curator row 33; NH4Cl-assisted wet-chemical synthesis; monoclinic; original 1.25 mS/cm
v43,Li3YBr6,0.00109,RT,,NH4Cl辅助湿化学合成,halides,否,10.1126/sciadv.abh1896,2021,Curator row 43; NH4Cl-assisted wet-chemical synthesis; monoclinic; original 1.09 mS/cm
v61,Li3ErCl6,0.000407,RT,,NH4Cl辅助湿化学合成,halides,否,10.1126/sciadv.abh1896,2021,Curator row 61; NH4Cl-assisted wet-chemical synthesis; trigonal; original 0.407 mS/cm
v65,Li3YCl6,0.000345,RT,,NH4Cl辅助湿化学合成（500°C）,halides,否,10.1126/sciadv.abh1896,2021,Curator row 65; NH4Cl-assisted wet-chemical synthesis at 500 C; original 0.345 mS/cm
v54,Li3InCl6,0.0007,RT,,机械球磨（未退火）,halides,否,10.1002/adfm.202108805,2022,Curator row 54; mechanically milled and unannealed; original 0.7 mS/cm
v30,Li2.73Ho1.09Cl6,0.0013,RT,,共晶合成,halides,否,10.1002/aenm.202103921,2022,Curator row 30; eutectic synthesis; orthorhombic; original 1.3 mS/cm
v44,Li2.25Zr0.75In0.25Cl6,0.00108,RT,,球磨,halides,否,10.1016/j.cclet.2021.12.048,2022,Curator row 44; ball-milled; tabulated value; corrected DOI; original 1.08 mS/cm
v11,Li2.7Zr0.3In0.7Cl6,,30,30°C: 0.0021,unknow,halides,否,10.1016/j.cej.2022.135413,2022,Curator row 11; Zr4+ doped; original 2.1 mS/cm at 30 C
v15,Li2.5Zr0.5In0.5Cl6,0.0018,RT,,球磨 + 退火,halides,否,10.1016/j.cej.2022.135413,2022,Curator row 15; ball-milled and annealed; monoclinic; original 1.8 mS/cm
v28,Li3InCl5.6F0.4,,30,30°C: 0.00137,unknow,halides,否,10.1016/j.jpowsour.2022.231939,2022,Curator row 28; F- substitution; original 1.37 mS/cm at 30 C
v18,Li2.556Yb0.492Zr0.492Cl6,0.00158,RT,,退火,halides,否,10.1016/j.nanoen.2021.106674,2022,Curator row 18; orthorhombic and annealed; corrected DOI; original 1.58 mS/cm
v27,Li2.4Er0.4Zr0.6Cl6,0.00138,RT,,球磨,halides,否,10.1021/acsami.1c25087,2022,Curator row 27; ball-milled Zr-doped x=0.6 sample; distinct 2022 source; original 1.38 mS/cm
v37,Li2.6Er0.6Zr0.4Cl6,0.00113,RT,,unknow,halides,否,10.1021/acsami.1c25087,2022,Curator row 37; Zr4+ substituted; 4.21 V oxidative stability; original 1.13 mS/cm
v60,Li3ErCl6,0.000429,RT,,机械球磨,halides,否,10.1021/acsami.1c25087,2022,Curator row 60; mechanical milling; corrected DOI; original 0.429 mS/cm
v52,Li3InCl6,,20,20°C: 0.00079,乙醇介导合成 + 200°C加热,halides,否,10.1021/acsami.2c06216,2022,Curator row 52; ethanol-mediated and heated at 200 C; corrected DOI; original 0.79 mS/cm at 20 C
v13,Li2In0.333333Sc0.333333Cl4,0.002,RT,,高温固相合成,halides,否,10.1038/s41560-021-00952-0,2022,Curator row 13; high-temperature solid-state synthesis; spinel phase; original 2.0 mS/cm
trv1_0014,Li2OHCl,1.93e-6,25,,熔融-凝固法（350°C，6 min）,antiperovskite,否,10.1039/d2ta01462a,2022,室温为正交相与立方相混合相
trv1_0015,Li2OHCl0.9Br0.1,2.52e-6,25,,熔融-凝固法（350°C，6 min）,antiperovskite,否,10.1039/d2ta01462a,2022,系列最高电导率；室温稳定立方相
trv1_0016,Li2OHCl0.7Br0.3,1.79e-6,25,,熔融-凝固法（350°C，快冷）,antiperovskite,否,10.1039/d2ta01462a,2022,x=0.3；不确定度±1.2e-7 S/cm
trv1_0017,Li2OHCl0.5Br0.5,1.54e-6,25,,熔融-凝固法（350°C，快冷）,antiperovskite,否,10.1039/d2ta01462a,2022,x=0.5；不确定度±1.0e-7 S/cm
trv1_0018,Li2OHCl0.3Br0.7,1.45e-6,25,,熔融-凝固法（350°C，快冷）,antiperovskite,否,10.1039/d2ta01462a,2022,x=0.7；不确定度±9.0e-8 S/cm
trv1_0019,Li2OHCl0.1Br0.9,1.23e-6,25,,熔融-凝固法（350°C，快冷）,antiperovskite,否,10.1039/d2ta01462a,2022,x=0.9；不确定度±9.0e-8 S/cm
trv1_0020,Li2OHBr,1.29e-6,25,,熔融-凝固法（350°C，6 min）,antiperovskite,否,10.1039/d2ta01462a,2022,立方相
trv1_0021,Li2OHBr,1.99e-6,25,,熔融-凝固法+慢冷（1°C/min）,antiperovskite,否,10.1039/d2ta01462a,2022,慢冷样品；电导率提高约1.5倍
v01,LiTaOCl4,0.0124,RT,,球磨 + 退火,halides,否,10.1002/anie.202217581,2023,Curator row 1; ball-milled and annealed oxychloride; original 12.4 mS/cm
v02,LiNbOCl4,0.0104,RT,,球磨 + 退火,halides,否,10.1002/anie.202217581,2023,Curator row 2; ball-milled and annealed oxychloride; corrected from LLM value 10.7 to source value 10.4 mS/cm
trv1_0022,Li3YCl6,1.53e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,原始相；三方晶系
trv1_0023,Li3YBr1.6Cl4.4,1.06e-3,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,阴离子单掺杂最优值
trv1_0024,Li3YBr1.8Cl4.2,9.74e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,过掺导致晶格应变增大
trv1_0025,Li3YBr2Cl4,6.29e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,出现LiCl杂相
trv1_0026,Li3Y0.85In0.15Cl6,3.00e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,In掺杂最优值
trv1_0027,Li3Y0.82Sc0.18Cl6,2.75e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,Sc掺杂最优值
trv1_0028,Li2.99Y0.99Zr0.01Cl6,2.76e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,Zr掺杂最优值
trv1_0029,Li2.99Y0.99Zr0.01Br1.6Cl4.4,7.51e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,1% Zr与Br双掺；全文最优
trv1_0030,Li2.99Y0.84In0.08Sc0.07Zr0.01Br1.6Cl4.4,5.56e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,In、Sc、Zr三种阳离子与Br共掺
trv1_0031,Li2.99Y0.99Zr0.01BrCl5,5.40e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,1% Zr与低Br含量双掺
trv1_0032,Li2.99Y0.99Zr0.01Br0.4Cl5.6,3.70e-4,RT,,unknow,halide,否,10.1007/s10008-023-05612-9,2023,1% Zr与极低Br含量双掺
v09,Li2.5Sc0.5Zr0.5Cl6,0.00223,25,,unknow,halides,否,10.1016/j.cej.2022.140509,2023,Curator row 9; Zr4+ doped; original 2.23 mS/cm at 25 C
v55,Li3ScCl6,0.00068,25,,unknow,halides,否,10.1016/j.cej.2022.140509,2023,Curator row 55; undoped comparator; original 0.68 mS/cm at 25 C
v32,Li2.7In0.7Hf0.3Cl6,0.00128,RT,,unknow,halides,否,10.1021/acsami.2c21022,2023,Curator row 32; Hf4+ doped; corrected DOI; original 1.28 mS/cm
v56,Li3InCl6,0.00067,RT,,unknow,halides,否,10.1021/acsami.2c21022,2023,Curator row 56; undoped Hf-doping reference; corrected DOI; original 0.67 mS/cm
khx,Li3.2TaCl5O1.6,0.0066,RT,,unknow,halides,是,10.1038/s41467-023-39197-8,2023,Source data/add-data-LZACO.txt; original 6.6e-3 S/cm
arj,Li3TaCl5O1.5,0.0058,RT,,unknow,halides,是,10.1038/s41467-023-39197-8,2023,Source data/add-data-LZACO.txt; approximate original 5.8e-3 S/cm
vuo,Li2.8TaCl5O1.4,0.0055,RT,,unknow,halides,是,10.1038/s41467-023-39197-8,2023,Source data/add-data-LZACO.txt; approximate original 5.5e-3 S/cm
skp,Li2.4TaCl5O1.2,0.0054,RT,,unknow,halides,是,10.1038/s41467-023-39197-8,2023,Source data/add-data-LZACO.txt; approximate original 5.4e-3 S/cm
mvh,Li2.2TaCl5O1.1,0.0053,RT,,unknow,halides,是,10.1038/s41467-023-39197-8,2023,Source data/add-data-LZACO.txt; original 5.3e-3 S/cm
vbk,Li2TaCl5O,0.00041,RT,,unknow,halides,否,10.1038/s41467-023-39197-8,2023,Source data/add-data-LZACO.txt; crystalline comparison; original 0.41e-3 S/cm
fmx,Li3HfCl4O1.5,0.00197,RT,,unknow,halides,unknow,10.1038/s41467-023-39197-8,2023,Source data/add-data-LZACO.txt; original 1.97e-3 S/cm
mhg,Li1.75ZrCl4.75O0.5,0.00242,25,,unknow,halides,unknow,10.1038/s41467-023-39522-1,2023,Source data/add-data-LZACO.txt; curator row 8; O2- substitution; original 2.42 mS/cm at 25 C
jib,Li2.5ZrCl5.5O0.5,0.00117,RT,,unknow,halides,unknow,10.1038/s41467-023-39522-1,2023,Source data/add-data-LZACO.txt; curator row 16; dual-phase room-temperature sample; corrected from review extraction 1.7 to source value 1.17 mS/cm
v06,Li0.388Ta0.238La0.475Cl3,0.00302,RT,,球磨,halides,否,10.1038/s41586-023-05899-8,2023,Curator row 6; Ta5+ doped and ball-milled; original 3.02 mS/cm
trv1_0033,Li2ZrCl6,4.17e-4,27（外推）,30°C: 4.8e-4,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,未暴露样品；由30°C按Ea=0.37 eV外推至27°C
trv1_0034,Li2.2Zr0.9Zn0.1Cl6,,30,30°C: ~7.0e-4,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,由图估算
trv1_0035,Li2.4Zr0.8Zn0.2Cl6,1.00e-3,27（外推）,30°C: 1.13e-3,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,系列最优；由30°C按Ea=0.31 eV外推至27°C
trv1_0036,Li2.6Zr0.7Zn0.3Cl6,,30,30°C: ~9.0e-4,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,由图估算
trv1_0037,Li2.8Zr0.6Zn0.4Cl6,,30,30°C: ~6.0e-4,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,由图估算
trv1_0038,Li3Zr0.5Zn0.5Cl6,,30,30°C: ~3.0e-4,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,由图估算
trv1_0039,Li2ZrCl6,,30,30°C: 1.4e-4,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,空气暴露后
trv1_0040,Li2.4Zr0.8Zn0.2Cl6,,30,30°C: 9.8e-4,机械化学球磨,halide,unknow,10.1002/aenm.202405760,2024,空气暴露后
trv1_0041,Li2ZrCl6,2.94e-4,27（外推）,30°C: 3.4e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,由30°C按Ea=0.38 eV外推至27°C
trv1_0042,Li2.1ZrCl6F0.1,,30,30°C: ~4.5e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,由图估算
trv1_0043,Li2.2ZrCl6F0.2,,30,30°C: 6.37e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,
trv1_0044,Li2.3ZrCl6F0.3,,30,30°C: ~5.5e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,由图估算
trv1_0045,Li2.4ZrCl6F0.4,,30,30°C: ~4.0e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,由图估算
trv1_0046,Li2.3ZrCl6.1F0.2,6.50e-4,27（外推）,30°C: 7.4e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,本文最优样品；由30°C按Ea=0.34 eV外推至27°C
trv1_0047,Li2.3ZrCl6.2F0.2,,30,30°C: ~7.0e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,由图估算
trv1_0048,Li2.4ZrCl6.3F0.2,,30,30°C: ~6.0e-4,机械化学球磨,halide,unknow,10.1002/smll.202407418,2024,由图估算
qtx,Li2ZrCl6,0.00012,RT,,unknow,halides,否,10.1016/j.ensm.2024.103444,2024,Source data/add-data-LZACO.txt; crystalline; original 0.12 mS/cm; Ea=0.43 eV
lly,Li2.1Zr0.9Al0.1Cl6,0.00036,RT,,unknow,halides,否,10.1016/j.ensm.2024.103444,2024,Source data/add-data-LZACO.txt; crystalline; original 0.36 mS/cm; Ea=0.40 eV
qiv,Li2.15Zr0.85Al0.15Cl6,0.00065,RT,,unknow,halides,否,10.1016/j.ensm.2024.103444,2024,Source data/add-data-LZACO.txt; crystalline; original 0.65 mS/cm; Ea=0.345 eV
hav,Li2.2Zr0.8Al0.2Cl6,0.00099,RT,,unknow,halides,否,10.1016/j.ensm.2024.103444,2024,Source data/add-data-LZACO.txt; crystalline; original 0.99 mS/cm; Ea=0.335 eV
wys,Li2.25Zr0.75Al0.25Cl6,0.00113,RT,,unknow,halides,否,10.1016/j.ensm.2024.103444,2024,Source data/add-data-LZACO.txt; crystalline; original 1.13 mS/cm; Ea=0.29 eV
uby,Li2.3Zr0.7Al0.3Cl6,0.00087,RT,,unknow,halides,否,10.1016/j.ensm.2024.103444,2024,Source data/add-data-LZACO.txt; crystalline; original 0.87 mS/cm; Ea=0.36 eV
gsp,Li2.4Zr0.6Al0.4Cl6,0.0005,RT,,unknow,halides,否,10.1016/j.ensm.2024.103444,2024,Source data/add-data-LZACO.txt; crystalline; original 0.50 mS/cm; Ea=0.40 eV
nek,Li2ZrCl6,0.000397,RT,,unknow,halides,unknow,10.1016/j.est.2024.111700,2024,Source data/add-data-LZACO.txt; original 3.97e-4 S/cm
ync,Li3.4ZrCl4.6O1.4,0.00146,RT,,unknow,halides,unknow,10.1016/j.est.2024.111700,2024,Source data/add-data-LZACO.txt; original 1.46e-3 S/cm
trv1_0049,Li3YCl6,2.6e-4,RT,,unknow,halide,unknow,10.1021/acsami.4c01352,2024,
trv1_0050,Li3Y0.8Fe0.2Cl6,7.5e-4,RT,,unknow,halide,unknow,10.1021/acsami.4c01352,2024,
trv1_0051,Li2.4Y0.4Zr0.6Cl6,2.05e-3,RT,,unknow,halide,unknow,10.1021/acsami.4c01352,2024,系列最优
trv1_0052,Li2.4Y0.4Zr0.6Cl5.925F0.075,1.65e-3,RT,,unknow,halide,unknow,10.1021/acsami.4c01352,2024,
trv1_0053,Li2.4Y0.4Zr0.6Cl5.85F0.15,1.45e-3,RT,,unknow,halide,unknow,10.1021/acsami.4c01352,2024,
trv1_0054,Li2.4Y0.4Zr0.6Cl5.7F0.3,1.08e-3,RT,,unknow,halide,unknow,10.1021/acsami.4c01352,2024,
trv1_0055,Li2.75Y0.16Er0.16Yb0.16In0.25Zr0.25Cl6,,30,30°C: 1.171e-3,机械化学球磨,halide,unknow,10.1038/s41467-024-45864-1,2024,二次引用[18]
trv1_0056,Li2.75Al0.16Ti0.16Fe0.16In0.25Zr0.25Cl6,,30,30°C: 4.54e-4,机械化学球磨,halide,unknow,10.1038/s41467-024-45864-1,2024,二次引用[18]
trv1_0057,Li3YbCl6,≈4.0e-4,RT,,unknow,halide,unknow,10.1002/adma.202501838,2025,卤化物固态电解质基体
trv1_0058,Li3LuCl6,≈4.0e-4,RT,,unknow,halide,unknow,10.1002/adma.202501838,2025,卤化物固态电解质基体
trv1_0059,Li3YCl6,≈4.0e-4,RT,,unknow,halide,unknow,10.1002/adma.202501838,2025,对比电解质；与Li不稳定
trv1_0060,Li6PI3,6.2e-4,RT,,unknow,halide,unknow,10.1002/adma.202501838,2025,PI3涂层与Li接触后的还原产物；界面层材料
trv1_0061,Li2ZrCl6,4.0e-4,30,30°C: 4.7e-4,机械化学球磨（600 rpm，10 h）,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；I与Br系列共用基准，已合并
trv1_0062,Li2ZrCl5.75I0.25,5.6e-4,30,30°C: 6.5e-4,机械化学球磨（600 rpm，10 h）,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；y=0.25
